PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Allerton/Pelham Gardens,37,707.61,537.5833333333333,183.15999999999997,14.529279279279278,4.950270270270269,19.124594594594594,0.34070996744690746,1.316279646566424
Alphabet City,19656,274024.339999998,285890.25,49099.940000000024,14.544681013431013,2.4979619454619466,13.941002238502136,0.1717440171534357,0.9584948769676405
Arden Heights,2,221.76,0.5833333333333334,0.0,0.2916666666666667,0.0,110.88,0.0,380.15999999999997
Arrochar/Fort Wadsworth,51,1508.0499999999997,425.3,140.19,8.33921568627451,2.7488235294117644,29.56960784313725,0.3296261462497061,3.545849988243592
Astoria,14673,188860.52999999584,203191.0333333334,36687.68000000002,13.847954292464623,2.500353029373681,12.871296258433574,0.18055757381682364,0.9294727572459928
Astoria Park,71,2986.61,1162.15,373.13,16.36830985915493,5.255352112676056,42.06492957746479,0.3210687088585811,2.5699006152389967
Auburndale,46,937.5999999999999,702.5833333333333,227.27999999999997,15.27355072463768,4.94086956521739,20.382608695652173,0.32349187522239353,1.334503617601708
Baisley Park,2079,129966.80999999995,93246.71666666667,29573.189999999995,44.85171556838224,14.224718614718613,62.514098124098105,0.3171499336080287,1.3937950272779929
Bath Beach,63,1493.4000000000003,2439.5333333333338,288.6700000000001,38.72275132275133,4.582063492063493,23.70476190476191,0.1183300084715656,0.6121662613068073
Battery Park,2934,56421.71000000008,68502.90000000001,12101.579999999993,23.34795501022495,4.124601226993862,19.230303340149995,0.1766579225113096,0.823639729120958
Battery Park City,75611,1423003.95,1379303.016666667,293946.47000000044,18.242094624679837,3.8876151618150856,18.820065202153124,0.21311232299801297,1.031683344997638
Bay Ridge,382,9168.989999999994,10623.633333333333,1842.1499999999999,27.810558464223384,4.822382198952879,24.002591623036633,0.17340112767446164,0.8630747798148148
Bay Terrace/Fort Totten,30,601.4599999999999,349.45000000000005,134.63,11.648333333333335,4.487666666666667,20.048666666666666,0.3852625554442695,1.7211618257261407
Bayside,57,1420.7700000000002,1004.4333333333334,317.61,17.621637426900588,5.572105263157895,24.925789473684215,0.3162081438953971,1.4144990541930775
Bedford,1701,22480.57000000002,30624.333333333332,4169.86,18.003723300019594,2.4514168136390357,13.216090534979436,0.13616165794085314,0.7340754084442662
Bedford Park,105,1942.6100000000001,2992.566666666666,405.86,28.500634920634916,3.8653333333333335,18.501047619047622,0.13562270960268222,0.6491451039798614
Bellerose,94,1921.2800000000004,1255.15,427.95,13.352659574468086,4.552659574468085,20.439148936170216,0.3409552643110385,1.5307174441301838
Belmont,50,1170.45,583.45,159.19,11.669,3.1837999999999997,23.409000000000002,0.2728425743422744,2.006084497386237
Bensonhurst East,68,1447.3,1232.25,319.27,18.121323529411764,4.69514705882353,21.283823529411762,0.2590951511462771,1.174518157841347
Bensonhurst West,119,2659.730000000001,1895.25,486.61999999999995,15.926470588235293,4.089243697478991,22.35067226890757,0.2567576836828914,1.4033663105131253
Bloomfield/Emerson Hill,7,318.75999999999993,87.15,37.51,12.450000000000001,5.3585714285714285,45.53714285714285,0.43040734366035566,3.657601835915088
Bloomingdale,25353,340195.8599999992,352359.00000000035,59699.080000000045,13.89811856585021,2.354714629432416,13.418367057152967,0.16942686294375903,0.9654808306301211
Boerum Hill,8514,133393.26999999888,130073.5166666666,26350.509999999995,15.27760355492913,3.094962414846135,15.667520554380888,0.202581668238641,1.025522131010263
Borough Park,288,4726.249999999999,6531.9,782.69,22.680208333333333,2.7176736111111115,16.410590277777775,0.11982577810438005,0.723564353404063
Breezy Point/Fort Tilden/Riis Beach,5,157.28,36.833333333333336,10.440000000000001,7.366666666666667,2.088,31.456,0.2834389140271493,4.270045248868778
Briarwood/Jamaica Hills,544,24308.03,16365.716666666669,4844.639999999999,30.084037990196084,8.905588235294116,44.683878676470584,0.296023699949997,1.4853018963422517
Brighton Beach,90,2747.93,1367.1,370.76,15.19,4.119555555555555,30.532555555555554,0.27120181405895694,2.0100431570477655
Broad Channel,4,71.80999999999999,52.0,17.48,13.0,4.37,17.952499999999997,0.33615384615384614,1.3809615384615381
Bronx Park,21,772.35,386.3666666666667,130.53,18.3984126984127,6.215714285714286,36.77857142857143,0.337839703218014,1.9990078509188163
Bronxdale,45,836.86,761.0500000000001,185.35,16.912222222222223,4.118888888888889,18.596888888888888,0.2435451021614874,1.0996123776361604
Brooklyn Heights,8863,158526.91999999862,146744.29999999993,33080.80000000002,16.55695588401218,3.7324607920568678,17.88637256008108,0.22543158405471309,1.0802935446214859
Brooklyn Navy Yard,142,2090.2800000000007,3210.466666666667,407.69,22.60892018779343,2.871056338028169,14.72028169014085,0.12698776917166765,0.6510829162946198
Brownsville,162,3502.4900000000002,3440.916666666666,808.6600000000001,21.240226337448554,4.991728395061729,21.62030864197531,0.23501295681867726,1.0178944564190746
Bushwick North,892,15170.150000000016,18689.800000000007,3117.6900000000005,20.952690582959647,3.4951681614349783,17.0068946188341,0.16681237894466497,0.8116807028432627
Bushwick South,1607,25329.510000000046,30172.066666666666,4860.640000000001,18.775399294752127,3.024667081518358,15.76198506533917,0.1610973505295185,0.8395019896990831
Cambria Heights,44,1288.2600000000002,689.05,285.16,15.66022727272727,6.480909090909091,29.27863636363637,0.4138451491183514,1.8696175894347293
Canarsie,203,5499.379999999999,4616.299999999999,1167.28,22.740394088669948,5.750147783251231,27.09054187192118,0.2528605159976605,1.191296059614843
Carroll Gardens,4708,77517.41000000015,71176.43333333335,15391.010000000004,15.11818889832909,3.2691185216652516,16.465040356839452,0.2162374437606455,1.0890881485585369
Central Harlem,31737,393540.7400000075,411366.14999999997,68580.68000000002,12.961721334719726,2.1609061978132784,12.400061127390979,0.16671444648520553,0.956667776383661
Central Harlem North,13904,170627.2699999962,187357.4166666666,30955.73999999998,13.475073120444952,2.226390966628307,12.271811708860486,0.165222922853779,0.9107046469559542
Central Park,122396,1600722.159999907,1863666.4000000036,254613.26000000018,15.22653027876731,2.0802416745645296,13.078222817738382,0.13661954736105114,0.8589102427343778
Charleston/Tottenville,1,89.8,0.06666666666666667,0.0,0.06666666666666667,0.0,89.8,0.0,1347.0
Chinatown,18041,296014.1999999962,353760.6833333332,55391.52000000003,19.608707019197006,3.070313175544595,16.407859874729574,0.15657907339523944,0.8367639874809802
City Island,3,101.44999999999999,12.933333333333334,5.0,4.311111111111111,1.6666666666666667,33.81666666666666,0.3865979381443299,7.844072164948453
Claremont/Bathgate,111,1783.6100000000001,2879.4666666666667,336.90999999999997,25.94114114114114,3.0352252252252248,16.06855855855856,0.11700430635302833,0.6194237358770143
Clinton East,270555,3641384.439998922,3891104.5499999905,619853.2999999998,14.381935465986547,2.2910435955720643,13.458943431091356,0.15930008871131499,0.9358228218254714
Clinton Hill,2674,37937.74000000012,36533.51666666667,7018.540000000002,13.662496883570183,2.624734480179507,14.187636499626073,0.19211235710039778,1.0384365771887125
Clinton West,71979,980891.4100000728,1035201.5333333324,167443.55999999997,14.381993822272223,2.326283499353978,13.627466483280857,0.16174972177720254,0.9475366664514282
Co-Op City,76,1627.71,1309.3833333333332,401.16,17.228728070175436,5.278421052631579,21.417236842105265,0.30637322912821563,1.243111897458091
Cobble Hill,5215,91659.52999999988,97905.69999999997,18568.110000000008,18.773863854266533,3.560519654841804,17.576132310642354,0.18965300283844572,0.9362021823039917
College Point,46,1120.77,3638.5333333333338,290.55999999999995,79.09855072463769,6.316521739130434,24.364565217391306,0.07985635237641538,0.3080279599838762
Columbia Street,334,5595.7,4385.55,1148.8400000000001,13.130389221556888,3.439640718562875,16.753592814371256,0.26196030144451665,1.275940303952754
