PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Central Park,122396,1600722.159999907,1863666.4000000036,254613.26000000018,15.22653027876731,2.0802416745645296,13.078222817738382,0.13661954736105114,0.8589102427343778
Clinton East,270555,3641384.439998922,3891104.5499999905,619853.2999999998,14.381935465986547,2.2910435955720643,13.458943431091356,0.15930008871131499,0.9358228218254714
East Chelsea,202681,2783635.3499994194,3074792.6500000004,451232.0100000001,15.170601339050036,2.2263162802630743,13.734071521254679,0.14675201269262825,0.9053083140417352
East Village,240129,3240078.9499992197,3502161.4499999904,549193.9499999991,14.584500206139161,2.287078820134174,13.493076429749092,0.15681571447826903,0.925165500293891
Flatiron,158880,2008932.749999747,2125643.7166666673,307206.4299999998,13.378925709130584,1.9335752139979847,12.644340067974237,0.14452395177576902,0.9450938246368301
Garment District,186274,2539215.379999465,2798160.6000000015,412972.7700000003,15.021745385829485,2.21701778025919,13.631614610731852,0.14758722926768394,0.9074587713083601
Gramercy,205986,2668262.7499994687,2788908.166666663,418942.6700000001,13.53930930581041,2.0338405037235545,12.953612138686458,0.15021744889532362,0.9567409862722762
Greenwich Village North,141053,1806873.2999998324,1980012.583333332,279690.44,14.037365978272934,1.9828748059240144,12.809889190586746,0.1412569002612821,0.9125564732310836
Greenwich Village South,117442,1610488.609999905,1775812.599999999,270805.7399999995,15.120762589192955,2.3058679177806876,13.713055039933797,0.15249680061961476,0.9069023443126296
JFK Airport,203377,11529307.580003267,8610942.750000017,3220795.690000002,42.33980612360305,15.836577833284991,56.68933842078144,0.37403519957207887,1.338913509789999
Kips Bay,113722,1466362.059999965,1514510.4833333332,242021.5900000001,13.317656067720698,2.1281861908865487,12.89426900687611,0.15980185853010886,0.9682085902585521
LaGuardia Airport,233164,9821089.880002022,7667790.383333328,2279603.830000004,32.88582449835021,9.776825882211678,42.1209529773122,0.297296054800212,1.2808239908786623
Lenox Hill East,160396,2146036.3699996793,2223446.483333327,363953.060000001,13.86223149787605,2.2690906257013954,13.379612770890043,0.16368869803170305,0.9651846293967927
Lenox Hill West,212473,2485559.5899994546,2504615.0666666646,394577.1400000005,11.787921602587927,1.8570695570731361,11.698237376040506,0.1575400328982027,0.9923918541731962
Lincoln Square East,264065,3358743.619999091,3652249.0333333327,536787.8699999999,13.830871313249892,2.0327868895915775,12.719382046083696,0.14697460800204104,0.9196370754963648
Lincoln Square West,101344,1258537.7200000458,1325517.5833333333,201579.19999999966,13.079388847226607,1.9890590464161635,12.418472923903199,0.1520758400602127,0.9494688986585523
Lower East Side,111838,1703861.9599998633,1871963.9333333354,316836.89000000025,16.73817426396516,2.8329985335932353,15.235089683290681,0.16925373633444998,0.9102002072047727
Midtown Center,354922,5022166.4999994775,5490032.066666681,794953.0199999982,15.468277724871045,2.239796405970884,14.150056913912007,0.14479934003056935,0.9147790830753249
Midtown East,308292,4340427.979999253,4518070.383333318,697543.2199999997,14.655165827635223,2.262605646594786,14.078951059382835,0.15438963115164445,0.9606817981434355
Midtown North,241799,3429964.6499991524,3796585.349999997,552063.7699999998,15.701410469025914,2.2831515845805805,14.185189558265966,0.14541060429472505,0.9034340950610146
Midtown South,204031,2876465.789999394,3109908.016666668,467331.6699999993,15.242330903963946,2.2904934544260396,14.098180129487158,0.15027186254238648,0.9249359706408657
Murray Hill,277904,3803422.359999002,3981815.766666676,595039.1899999992,14.32802610493795,2.1411681371984543,13.686101531460512,0.1494391566232931,0.9551979757172407
NV,155087,2532394.5499996007,2184499.0333333323,391350.4000000001,14.085636019352572,2.5234249163372824,16.328864121426044,0.17914880896185958,1.1592564296700163
Penn Station/Madison Sq West,292504,4097652.3399988245,4736921.36666668,636322.4399999984,16.19438150133564,2.175431583841583,14.008876254679677,0.1343324895527602,0.865045463670489
Sutton Place/Turtle Bay North,168079,2112460.0799996755,2144818.9000000013,344077.49999999965,12.760778562461708,2.0471177244034036,12.568257069590345,0.16042263521642758,0.9849130292537399
Times Sq/Theatre District,309169,4748256.709998995,5200581.083333326,808610.3499999987,16.82115957076332,2.6154315277404874,15.358126817368479,0.15548461547718392,0.9130242628494099
TriBeCa/Civic Center,146239,2259184.179999722,2326466.0666666664,414534.85999999946,15.90865683344844,2.8346395968243727,15.448575140692443,0.1781822077439282,0.9710797902316517
UN/Turtle Bay South,110072,1585671.6999999355,1646298.9500000016,262404.7699999997,14.956564339704935,2.3839375136274414,14.405768042735078,0.15939071697761786,0.96317360829267
Union Sq,283960,3745361.389999044,4145736.2833333323,571640.0499999999,14.599719267972011,2.0131006127623605,13.18974992956418,0.13788625492125592,0.9034249006759371
Upper East Side North,345684,4130205.3499987666,4410053.099999993,624045.7300000006,12.75746953865378,1.805249100334411,11.94792165676967,0.14150526441507055,0.9365432243885619
Upper East Side South,360976,4134051.039998701,4396394.99999998,608925.4999999984,12.179189198173786,1.6868863857984973,11.452426310886876,0.13850563927945533,0.9403274819479868
Upper West Side North,176926,2202864.7899996373,2232200.7666666703,362129.27000000025,12.616578494210406,2.0467837966155358,12.450769191637393,0.16222970415907764,0.9868578234067896
Upper West Side South,228251,2803691.3999993484,2970421.6999999955,451230.5400000006,13.01383871264527,1.9769049861775003,12.283369623788499,0.15190790587073927,0.9438698215810074
West Chelsea/Hudson Yards,118513,1680254.3799998944,1777433.233333334,271863.44999999995,14.997791240904661,2.2939546716393977,14.177806485363584,0.15295283384015335,0.9453262988949555
West Village,175800,2340401.5299996254,2560393.9333333317,383178.7900000005,14.564243079256721,2.179629067121732,13.312864220703217,0.14965618571871353,0.9140786890370022
Yorkville East,109302,1398951.2299999942,1371767.2500000023,237985.19000000012,12.55024839435694,2.1773177983934433,12.798953633053321,0.1734880242985825,1.0198167582729445
Yorkville West,170002,2074283.6499996807,2066557.450000002,345998.12,12.15607728144376,2.035259114598652,12.201524982057157,0.1674272931536453,1.0037386814480664
